docket,violation_address,city,state,cleaned_address,corrected
21DT000551,3700 S IRON ST,Chicago,Illinois,3700 S IRON ST,
22DT001572,4147 S COTTAGE GROVE,Chicago,Illinois,4147 S COTTAGE GROVE,
22DT001088,4874 N LINCOLN,Chicago,Illinois,4874 N LINCOLN,
21DT000510,4925 S DR MARTIN LU DR,Chicago,Illinois,4925 S DR MARTIN LUTHER KING JR DR,True
20DT000510,5101 S INDIANA,Chicago,Illinois,5101 S INDIANA,
21DS20792M,5216 N LINCOLN AVE,Chicago,Illinois,5216 N LINCOLN AVE,
22DS04238M,5726 S SANGAMON ST,Chicago,Illinois,5726 S SANGAMON ST,
21DT001055,627 W RANDOLPH ST,Chicago,Illinois,627 W RANDOLPH ST,
22DT001305,6226 N CALIFORNIA,Chicago,Illinois,6226 N CALIFORNIA,
21DS20615M,6307 S ARTESIAN AVE,Chicago,Illinois,6307 S ARTESIAN AVE,
22DS03486M,6651 S HALSTED ST,Chicago,Illinois,6651 S HALSTED ST,
21DT000628,427 N CLARK ST,Chicago,Illinois,427 N CLARK ST,
21DT000561,747 N MAY ST,Chicago,Illinois,747 N MAY ST,
20DS76055L,749 W CORNELIA AVE,Chicago,Illinois,749 W CORNELIA AVE,
20DS77372L,7901 S KINGSTON AVE,Chicago,Illinois,7901 S KINGSTON AVE,
19DT005780,1335 W 81ST ST,Chicago,Illinois,1335 W 81ST ST,
21DT000512,888 S MICHIGAN,Chicago,Illinois,888 S MICHIGAN,
23DT000453,847 N PAULINA ST,Chicago,Illinois,847 N PAULINA ST,
21DT000616,921 W FULTON ST,Chicago,Illinois,921 W FULTON ST,
21DT00032A,400 E 95TH ST,Chicago,Illinois,400 E 95TH ST,
20DS75981L,2701 W POPE JOHN PAUL II DR,Chicago,Illinois,2701 W POPE JOHN PAUL II DR,
21DT000482,455 N MCCLURG CT,Chicago,Illinois,455 N MCCLURG CT,
22DS04220M,6105 S GREEN ST,Chicago,Illinois,6105 S GREEN ST,
