docket,violation_address,city,state,cleaned_address,corrected,result_num,osm_id,display_name,category,type,latlong,shape_area,shape_leng,ward
22DS04235M,6410 S MAY ST,Chicago,Illinois,6410 S MAY ST,,"0","210132689","6410, South May Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.77740025,-87.65350217284157","103143638.546","97901.3238332","16"
20DS75787L,5421 S ASHLAND AVE,Chicago,Illinois,5421 S ASHLAND AVE,,"0","435350316","5421, South Ashland Avenue, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.79550510335157,-87.6645155630733","103143638.546","97901.3238332","16"
22DS03741M,2053 W 53RD ST,Chicago,Illinois,2053 W 53RD ST,,"0","209700857","2053, West 53rd Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",building,yes,"41.79733160000001,-87.67654533853104","103143638.546","97901.3238332","16"
22DS04082M,6419 S MAY ST,Chicago,Illinois,6419 S MAY ST,,"0","210132741","6419, South May Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.7772068,-87.65293905372882","103143638.546","97901.3238332","16"
22DS04080M,932 W 59TH ST,Chicago,Illinois,932 W 59TH ST,,"0","31445932","932, West 59th Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",place,house,"41.787053327869295,-87.648810877032","103143638.546","97901.3238332","16"
22DS04238M,5726 S SANGAMON ST,Chicago,Illinois,5726 S SANGAMON ST,,"0","210130537","5726, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78984595,-87.64900432785714","103143638.546","97901.3238332","16"
21DS20615M,6307 S ARTESIAN AVE,Chicago,Illinois,6307 S ARTESIAN AVE,,"0","165135336","6307, South Artesian Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.77906575,-87.68464296947549","103143638.546","97901.3238332","16"
22DS04220M,6105 S GREEN ST,Chicago,Illinois,6105 S GREEN ST,,"0","210131815","6105, South Green Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78308665,-87.64580909428125","103143638.546","97901.3238332","16"
20DS75798L,5407 S ASHLAND AVE,Chicago,Illinois,5407 S ASHLAND AVE,,"0","435350316","5407, South Ashland Avenue, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.79566323100548,-87.66452076892199","103143638.546","97901.3238332","16"
22DS04276M,6120 S GREEN ST,Chicago,Illinois,6120 S GREEN ST,,"0","210131931","6120, South Green Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78272355,-87.64637272179377","103143638.546","97901.3238332","16"
22DS04151M,5757 S PEORIA ST,Chicago,Illinois,5757 S PEORIA ST,,"0","210130807","5757-5759, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7889696,-87.64709435555739","103143638.546","97901.3238332","16"
22DS04281M,5757 S PEORIA ST,Chicago,Illinois,5757 S PEORIA ST,,"0","210130807","5757-5759, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7889696,-87.64709435555739","103143638.546","97901.3238332","16"
22DS04242M,5756 S SANGAMON ST,Chicago,Illinois,5756 S SANGAMON ST,,"0","210130795","5756-5758, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7889184,-87.64902357699458","103143638.546","97901.3238332","16"
22DS04295M,5613 S CARPENTER ST,Chicago,Illinois,5613 S CARPENTER ST,,"0","210161752","5613, South Carpenter Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.791938349999995,-87.65089335677966","103143638.546","97901.3238332","16"
23DS10124M,6208 S MAY ST,Chicago,Illinois,6208 S MAY ST,,"0","210132192","6208, South May Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.781095199999996,-87.6535795","103143638.546","97901.3238332","16"
