docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records
20DS75730L,STRTSAN,1816 W 47TH ST,41.80863247477542,-87.67050013971117,NEW CITY,15.0,2020-01-21,2
20DS75740L,STRTSAN,1737 W 47TH ST,41.8084097,-87.668940777639,NEW CITY,15.0,2020-01-21,2
20DS75749L,STRTSAN,6714 N CLARK ST,42.0042807,-87.67323258704147,ROGERS PARK,49.0,2019-11-13,2
20DS75771L,STRTSAN,2021 W 47TH ST,41.808266450000005,-87.67555657727985,NEW CITY,15.0,2020-01-21,1
20DS75772L,STRTSAN,1425 W MORSE AVE,42.0074513,-87.6668285,ROGERS PARK,49.0,2020-01-21,1
20DS75787L,STRTSAN,5421 S ASHLAND AVE,41.79550510335157,-87.6645155630733,NEW CITY,16.0,2020-01-22,4
20DS75789L,STRTSAN,2706 W 47TH ST,41.80839636414722,-87.6921077870194,BRIGHTON PARK,15.0,2020-01-21,1
20DS75792L,STRTSAN,5035 W FOSTER AVE,41.97534253683294,-87.75418788993629,FOREST GLEN,45.0,2020-01-20,2
20DS75798L,STRTSAN,5407 S ASHLAND AVE,41.79566323100548,-87.66452076892199,NEW CITY,16.0,2020-01-22,1
20DS75804L,STRTSAN,5658 S HONORE ST,41.79043885,-87.67090160264117,WEST ENGLEWOOD,15.0,2020-01-22,2
20DS75836L,STRTSAN,4901 W IRVING PARK RD,41.9530835,-87.7503031,PORTAGE PARK,45.0,2020-01-19,2
20DS75837L,STRTSAN,7628 S UNION AVE,41.75511435,-87.64198540562467,AUBURN GRESHAM,6.0,2020-01-22,2
20DS75850L,STRTSAN,4500 S ROCKWELL ST,41.811859350000006,-87.68992618829162,BRIGHTON PARK,15.0,2020-01-22,2
